Date,Dept,BU,Account,local
1/31/2003,115,10110,41101,699093
1/31/2003,115,10110,42201,70494
1/31/2003,115,10110,51001,4526
1/31/2003,115,10110,51003,4520
1/31/2003,115,10110,61010,3794
1/31/2003,115,10110,61015,4428
1/31/2003,115,10110,61030,4114
1/31/2003,115,10110,61065,5148
1/31/2003,115,10110,61080,4862
1/31/2003,115,10110,61095,3842
1/31/2003,115,10110,64055,4986
1/31/2003,115,10110,64060,4512
1/31/2003,115,10110,64065,3811
1/31/2003,115,10110,64070,3903
1/31/2003,115,10110,64090,5002
1/31/2003,115,10110,64100,4484
1/31/2003,115,10110,66005,4016
1/31/2003,115,10110,66010,3925
1/31/2003,115,10110,67010,5011
1/31/2003,115,10110,67015,4584
1/31/2003,115,10110,61060,37425
1/31/2003,115,10110,61070,1137
1/31/2003,115,10110,62001,1825
1/31/2003,115,10110,63040,1823
1/31/2003,115,10110,64005,1061
1/31/2003,115,10110,64020,1521
1/31/2003,115,10110,65005,1756
1/31/2003,115,10110,65006,1054
1/31/2003,115,10110,65015,1274
1/31/2003,115,10110,65018,1669
1/31/2003,115,10110,65020,1162
1/31/2003,115,10110,65022,1050
1/31/2003,115,10110,65035,1730
2/28/2003,115,10110,41101,701599
2/28/2003,115,10110,42201,52002
2/28/2003,115,10110,51001,3854
2/28/2003,115,10110,51003,5319
2/28/2003,115,10110,61010,3862
2/28/2003,115,10110,61015,5307
2/28/2003,115,10110,61030,4650
2/28/2003,115,10110,61065,4997
2/28/2003,115,10110,61080,3873
2/28/2003,115,10110,61095,4077
2/28/2003,115,10110,64055,3837
2/28/2003,115,10110,64060,4026
2/28/2003,115,10110,64065,4237
2/28/2003,115,10110,64070,3778
2/28/2003,115,10110,64090,4106
2/28/2003,115,10110,64100,5027
2/28/2003,115,10110,66005,3772
2/28/2003,115,10110,66010,5215
2/28/2003,115,10110,67010,4720
2/28/2003,115,10110,67015,4766
2/28/2003,115,10110,61060,40954
2/28/2003,115,10110,61070,1674
2/28/2003,115,10110,62001,1529
2/28/2003,115,10110,63040,1827
2/28/2003,115,10110,64005,1773
2/28/2003,115,10110,64020,1645
2/28/2003,115,10110,65005,1651
2/28/2003,115,10110,65006,1571
2/28/2003,115,10110,65015,1509
2/28/2003,115,10110,65018,1573
2/28/2003,115,10110,65020,1273
2/28/2003,115,10110,65022,939
2/28/2003,115,10110,65035,1525
3/31/2003,115,10110,41101,713413
3/31/2003,115,10110,42201,64216
3/31/2003,115,10110,51001,4897
3/31/2003,115,10110,51003,5402
3/31/2003,115,10110,61010,5378
3/31/2003,115,10110,61015,4540
3/31/2003,115,10110,61030,5074
3/31/2003,115,10110,61065,4359
3/31/2003,115,10110,61080,3900
3/31/2003,115,10110,61095,5062
3/31/2003,115,10110,64055,4622
3/31/2003,115,10110,64060,4802
3/31/2003,115,10110,64065,4380
3/31/2003,115,10110,64070,5231
3/31/2003,115,10110,64090,4780
3/31/2003,115,10110,64100,4830
3/31/2003,115,10110,66005,3740
3/31/2003,115,10110,66010,5393
3/31/2003,115,10110,67010,3819
