Date,Dept,BU,Account,Value
Jan-2003,105,10120,41101,658008
Jan-2003,105,10120,42201,51830.025
Jan-2003,105,10120,51001,965.25
Jan-2003,105,10120,51003,1378.65
Jan-2003,105,10120,61010,997.425
Jan-2003,105,10120,61015,1110.525
Jan-2003,105,10120,61030,1467.375
Jan-2003,105,10120,61065,913.575
Jan-2003,105,10120,61080,1426.425
Jan-2003,105,10120,61095,1422.525
Jan-2003,105,10120,64055,1184.625
Jan-2003,105,10120,64060,1115.4
Jan-2003,105,10120,64065,1119.3
Jan-2003,105,10120,64070,1324.05
Jan-2003,105,10120,64090,1489.8
Jan-2003,105,10120,64100,969.15
Jan-2003,105,10120,66005,1335.75
Jan-2003,105,10120,66010,1693.575
Jan-2003,105,10120,67010,1545.375
Jan-2003,105,10120,67015,901.875
Jan-2003,105,10120,61060,44097.3
Jan-2003,105,10120,61070,4321.2
Jan-2003,105,10120,62001,2123.55
Jan-2003,105,10120,63040,1365
Jan-2003,105,10120,64005,1396.2
Jan-2003,105,10120,64020,1492.725
Jan-2003,105,10120,65005,1376.7
Jan-2003,105,10120,65006,1499.55
Jan-2003,105,10120,65015,1235.325
Jan-2003,105,10120,65018,1427.4
Jan-2003,105,10120,65020,897
Jan-2003,105,10120,65022,1088.1
Jan-2003,105,10120,65035,1548.3
Jan-2003,110,10120,41101,646794.525
Jan-2003,110,10120,42201,307039.2
Jan-2003,110,10120,51001,1131.975
Jan-2003,110,10120,51003,1404
Jan-2003,110,10120,61010,1365
Jan-2003,110,10120,61015,1677.975
Jan-2003,110,10120,61030,1396.2
Jan-2003,110,10120,61065,1492.725
Jan-2003,110,10120,61080,1656.525
Jan-2003,110,10120,61095,1465.425
Jan-2003,110,10120,64055,1376.7
Jan-2003,110,10120,64060,1499.55
Jan-2003,110,10120,64065,1235.325
Jan-2003,110,10120,64070,1427.4
Jan-2003,110,10120,64090,897
Jan-2003,110,10120,64100,1088.1
Jan-2003,110,10120,66005,1548.3
Jan-2003,110,10120,66010,1188.525
Jan-2003,110,10120,67010,1406.925
Jan-2003,110,10120,67015,868.725
Jan-2003,110,10120,61060,63102
Jan-2003,110,10120,61070,4407.975
Jan-2003,110,10120,62001,1743.3
Jan-2003,110,10120,63040,1396.2
Jan-2003,110,10120,64005,1465.425
Jan-2003,110,10120,64020,1376.7
Jan-2003,110,10120,65005,1529.775
Jan-2003,110,10120,65006,1653.6
Jan-2003,110,10120,65015,1433.25
Jan-2003,110,10120,65018,1592.175
Jan-2003,110,10120,65020,1068.6
Jan-2003,110,10120,65022,1028.625
Jan-2003,110,10120,65035,1077.375
Jan-2003,115,10110,41101,681615.675
Jan-2003,115,10110,42201,68731.65
Jan-2003,115,10110,51001,4412.85
Jan-2003,115,10110,51003,4407
Jan-2003,115,10110,61010,3699.15
Jan-2003,115,10110,61015,4317.3
Jan-2003,115,10110,61030,4011.15
Jan-2003,115,10110,61065,5019.3
Jan-2003,115,10110,61080,4740.45
Jan-2003,115,10110,61095,3745.95
Jan-2003,115,10110,64055,4861.35
Jan-2003,115,10110,64060,4399.2
Jan-2003,115,10110,64065,3715.725
Jan-2003,115,10110,64070,3805.425
Jan-2003,115,10110,64090,4876.95
Jan-2003,115,10110,64100,4371.9
Jan-2003,115,10110,66005,3915.6
Jan-2003,115,10110,66010,3826.875
Jan-2003,115,10110,67010,4885.725
Jan-2003,115,10110,67015,4469.4
Jan-2003,115,10110,61060,36489.375
Jan-2003,115,10110,61070,1108.575
Jan-2003,115,10110,62001,1779.375
Jan-2003,115,10110,63040,1777.425
Jan-2003,115,10110,64005,1034.475
Jan-2003,115,10110,64020,1482.975
Jan-2003,115,10110,65005,1712.1
Jan-2003,115,10110,65006,1027.65
Jan-2003,115,10110,65015,1242.15
Jan-2003,115,10110,65018,1627.275
Jan-2003,115,10110,65020,1132.95
Jan-2003,115,10110,65022,1023.75
Jan-2003,115,10110,65035,1686.75
Jan-2003,115,10120,41101,655469.1
Jan-2003,115,10120,42201,67721.55
Jan-2003,115,10120,51001,982.8
Jan-2003,115,10120,51003,1104.675
Jan-2003,115,10120,61010,1147.575
Jan-2003,115,10120,61015,1677
Jan-2003,115,10120,61030,928.2
Jan-2003,115,10120,61065,900.9
Jan-2003,115,10120,61080,1027.65
Jan-2003,115,10120,61095,1247.025
Jan-2003,115,10120,64055,934.05
Jan-2003,115,10120,64060,1334.775
Jan-2003,115,10120,64065,1211.925
Jan-2003,115,10120,64070,860.925
Jan-2003,115,10120,64090,1196.325
Jan-2003,115,10120,64100,1275.3
Jan-2003,115,10120,66005,1648.725
Jan-2003,115,10120,66010,1490.775
Jan-2003,115,10120,67010,1220.7
Jan-2003,115,10120,67015,1562.925
Jan-2003,115,10120,61060,44826.6
Jan-2003,115,10120,61070,4965.675
Jan-2003,115,10120,62001,2550.6
Jan-2003,115,10120,63040,937.95
Jan-2003,115,10120,64005,1665.3
Jan-2003,115,10120,64020,1405.95
Jan-2003,115,10120,65005,982.8
Jan-2003,115,10120,65006,1322.1
Jan-2003,115,10120,65015,1060.8
Jan-2003,115,10120,65018,1113.45
Jan-2003,115,10120,65020,1493.7
Jan-2003,115,10120,65022,900.9
Jan-2003,115,10120,65035,1494.675
Jan-2003,200,10120,41101,3.9
Jan-2003,200,10120,42201,3.9
Jan-2003,200,10120,51001,4484.025
Jan-2003,200,10120,51003,3628.95
Jan-2003,200,10120,61010,5007.6
Jan-2003,200,10120,61015,4064.775
Jan-2003,200,10120,61030,5020.275
Jan-2003,200,10120,61065,3541.2
Jan-2003,200,10120,61080,3612.375
Jan-2003,200,10120,61095,4491.825
Jan-2003,200,10120,64055,4499.625
Jan-2003,200,10120,64060,3713.775
Jan-2003,200,10120,64065,3745.95
Jan-2003,200,10120,64070,4230.525
Jan-2003,200,10120,64090,3471
Jan-2003,200,10120,64100,3943.875
Jan-2003,200,10120,66005,4105.725
Jan-2003,200,10120,66010,3489.525
Jan-2003,200,10120,67010,4614.675
Jan-2003,200,10120,67015,4740.45
Jan-2003,200,10120,61060,66661.725
Jan-2003,200,10120,61070,4843.8
Jan-2003,200,10120,62001,3612.375
Jan-2003,200,10120,63040,11912.55
Jan-2003,200,10120,64005,11444.55
Jan-2003,200,10120,64020,36993.45
Jan-2003,200,10120,65005,3182.4
Jan-2003,200,10120,65006,2905.5
Jan-2003,200,10120,65015,2848.95
Jan-2003,200,10120,65018,3372.525
Jan-2003,200,10120,65020,2659.8
Jan-2003,200,10120,65022,2615.925
Jan-2003,200,10120,65035,2820.675
Jan-2003,300,10120,51001,1652.625
Jan-2003,300,10120,51003,879.45
Jan-2003,300,10120,61010,1497.6
Jan-2003,300,10120,61015,1536.6
Jan-2003,300,10120,61030,1211.925
Jan-2003,300,10120,61065,1128.075
Jan-2003,300,10120,61080,1352.325
Jan-2003,300,10120,61095,963.3
Jan-2003,300,10120,64055,1434.225
Jan-2003,300,10120,64060,1696.5
Jan-2003,300,10120,64065,1413.75
Jan-2003,300,10120,64070,1467.375
Jan-2003,300,10120,64090,1515.15
Jan-2003,300,10120,64100,1540.5
Jan-2003,300,10120,66005,1304.55
Jan-2003,300,10120,66010,969.15
Jan-2003,300,10120,67010,1011.075
Jan-2003,300,10120,67015,1694.55
Jan-2003,300,10120,61060,66434.55
Jan-2003,300,10120,61070,4936.425
Jan-2003,300,10120,62001,2419.95
Jan-2003,300,10120,63040,467.025
Jan-2003,300,10120,64005,1301.625
Jan-2003,300,10120,64020,1497.6
Jan-2003,300,10120,65005,1555.125
Jan-2003,300,10120,65006,1698.45
Jan-2003,300,10120,65015,1144.65
Jan-2003,300,10120,65018,953.55
Jan-2003,300,10120,65020,1553.175
Jan-2003,300,10120,65022,1082.25
Jan-2003,300,10120,65035,1553.175
Jan-2003,405,10120,51001,1355.25
Jan-2003,405,10120,51003,1064.7
Jan-2003,405,10120,61010,936
Jan-2003,405,10120,61015,1680.9
Jan-2003,405,10120,61030,1633.125
Jan-2003,405,10120,61065,1020.825
Jan-2003,405,10120,61080,1556.1
Jan-2003,405,10120,61095,1580.475
Jan-2003,405,10120,64055,1308.45
Jan-2003,405,10120,64060,1276.275
Jan-2003,405,10120,64065,1509.3
Jan-2003,405,10120,64070,1308.45
Jan-2003,405,10120,64090,1592.175
Jan-2003,405,10120,64100,1467.375
Jan-2003,405,10120,66005,1349.4
Jan-2003,405,10120,66010,1200.225
