2018-12-18 10:28:27.444   INFO    TM1 Server is ready, elapsed time 10.00 seconds
2018-12-18 10:35:01.067   INFO   Server shutdown, elapsed time 5.00 seconds
2018-12-18 10:57:35.233   INFO    TM1 Server is ready, elapsed time 11.00 seconds
2018-12-18 11:13:53.804   INFO   Server shutdown, elapsed time 0.00 seconds
2018-12-18 11:14:51.077   INFO    TM1 Server is ready, elapsed time 11.00 seconds
2019-01-24 13:34:27.575   INFO   Server shutdown, elapsed time 0.00 seconds
2019-01-24 13:55:59.509   INFO    TM1 Server is ready, elapsed time 15.00 seconds
2019-01-25 09:29:53.284   INFO   Server shutdown, elapsed time 0.00 seconds
2019-01-25 09:31:00.504   INFO    TM1 Server is ready, elapsed time 16.00 seconds
2019-01-25 09:40:22.294   INFO   Server shutdown, elapsed time 0.00 seconds
2019-01-25 09:42:23.759   INFO    TM1 Server is ready, elapsed time 10.00 seconds
2019-01-30 02:23:52.804   INFO   Server shutdown, elapsed time 0.00 seconds
2019-01-30 10:26:49.784   INFO    TM1 Server is ready, elapsed time 16.00 seconds
2019-01-30 13:12:06.597   INFO   Server shutdown, elapsed time 0.00 seconds
2019-01-30 13:32:01.919   INFO    TM1 Server is ready, elapsed time 18.00 seconds
2019-01-31 09:40:29.654   INFO    TM1 Server is ready, elapsed time 27.00 seconds
2019-01-31 10:53:30.278   INFO    TM1 Server is ready, elapsed time 22.00 seconds
2019-01-31 10:56:35.611   INFO   Server shutdown, elapsed time 0.00 seconds
2019-01-31 11:01:46.905   INFO    TM1 Server is ready, elapsed time 17.00 seconds
2019-05-05 19:24:16.676   INFO    TM1 Server is ready, elapsed time 22.00 seconds
2019-05-05 21:20:52.204   INFO   Server shutdown, elapsed time 0.00 seconds
